unemployment,violent_total
6.808,388.8
7.325,414.4
6.38,419.1
7.158,413.3
8.867,448.5
10.542,470.5
14.1,447.7
13.808,416
11.008,431.2
9.167,457.5
9.7,558
8.083,559.2
7.208,558.6
7.042,590.8
6.767,708.6
7.342,844.2
7.567,871.7
7.333,780.4
6.217,683.7
5.975,632.4
5.233,565.4
4.992,564.5
4.408,512.1
4.733,490.2
4.583,486.2
5.125,438.2
5.9,445
6.017,429.2
5.683,427
4.492,433
4.033,425.2
3.983,448.9
5.658,452.8
11.033,450.1
10.542,383.7
9.642,419.8
7.942,450.3
7.217,431
6.783,427.4
7.608,540.1
9.875,443.2
10.683,441.9
9.317,491.1
9.625,436
9.383,615.8
9.942,623.7
9.975,613.8
9.867,621.6
9.717,581.8
10.95,570.4
10.283,455.4
8.808,522.8
7.033,497.7
7.242,524.5
8.475,613.9
8.933,660.5
7.692,760.8
7.608,766.3
7.325,770.9
7.608,727.7
7.15,701.1
6.358,653.9
6.475,630.8
6.375,566.9
6.433,589.5
7.292,565.4
7.825,598
7.458,632.3
6.883,632
6.617,688
6.333,661.3
6.692,652.1
7.742,633.4
7.883,635.3
7.592,610.1
7.142,604.1
6.992,638.7
6.875,635.8
9.75,455.3
8.208,494.2
6.042,552.1
5.067,593
6.642,650.9
6.233,575.8
10.083,517
8.825,494.2
5.192,516.1
6.325,602.5
6.9,658.3
6.467,612.6
6.375,610.1
5.333,599.6
5.275,652.4
5.942,670.7
7.533,670.8
6.408,715
6.158,703.1
5.358,713.5
5.567,631.5
4.575,623.7
4.3,577.9
4.442,551.1
3.95,531.7
4.792,540.3
6.083,554.5
5.742,513.3
5.033,504.4
4.683,512
4.208,542.6
3.858,518
6.125,485.6
9.933,426.5
10.367,413.6
9.5,414.2
8.35,428.6
7.767,415.6
6.783,399.9
7,303.9
6.475,322.9
6.175,344.1
6.225,366.2
7.533,335.2
8.75,310.3
9.917,324.7
9.875,297.7
8.725,321.4
8.7,347.6
8.567,394.8
8.1,412
7.617,422.7
6.983,473.7
6.9,532.2
7.433,593.3
7.1,576.5
6.158,593.3
5.358,595.1
4.842,553.2
5.258,524.3
5.233,526.9
5.175,490.2
4.6,425.2
4.258,445.3
4.958,452.4
5.483,425
5.933,456.4
5.708,502.3
5.25,528
5.158,552.8
5.308,537.1
5.467,513
7.85,515.8
8.192,503.5
8.308,482.3
7.575,469.6
7.25,463.2
6.025,480.1
9.15,669.3
8.35,706
7.158,742.9
6.233,811.1
6.833,893.6
7.417,863
9.942,814.7
9.792,772.6
7.767,763.4
7.192,765.3
6.717,920.5
5.8,918
5.308,929.8
5.117,977.7
5.758,1045.2
7.692,1089.9
9.308,1119.7
9.467,1077.8
8.592,1013
7.858,966
7.283,862.7
6.367,798.3
5.942,703.7
5.242,627.2
4.942,621.6
5.433,615.2
6.667,595.4
6.8,579.6
6.208,527.8
5.4,526
4.9,533.5
